feature,importance
TransactionAmt,0.13383347852990304
ProductCD,0.12912771049623092
DeviceType,0.11415324096143975
addr2,0.10175744970966753
card3,0.0895223401044954
amount_deviation_ratio,0.07104951617359206
addr1,0.0699407676023292
card2,0.06153938319024214
card5,0.057636449800595534
tx_velocity_24h,0.055126548219340876
card1,0.05486988205037481
hour_of_day,0.018318579665151883
is_new_merchant,0.018135168776481234
card4,0.016181759569537903
is_weekend,0.003156671513148876
unusual_time,0.002894153955901872
is_night,0.0027568996815668318
