feature,importance
TransactionAmt,0.12047270916923619
ProductCD,0.11045905687389981
DeviceType,0.09486222109030687
addr2,0.0924466493512676
amount_deviation_ratio,0.09005148471923231
tx_count_user,0.07820643323219524
addr1,0.07589360869484288
card3,0.07503015906720387
card1,0.06562239917813348
card2,0.05727853220315111
card5,0.04988222526301441
hour_of_day,0.040774576682399456
card4,0.016804407810567076
is_new_merchant,0.012101485829223735
is_weekend,0.007627451358627032
unusual_time,0.006748518508628545
is_night,0.005738080968070417
