TransactionAmt,amount_deviation_ratio,tx_count_user,is_new_merchant,unusual_time,hour_of_day,is_weekend,is_night,card1,card2,card3,card4,card5,ProductCD,addr1,addr2,DeviceType,isFraud
226.0,0.199141751918722,2,0,0,1,0,1,13004,321.0,150.0,4,226.0,4,476.0,87.0,0,0
63.97,1.0162033359809373,373,0,0,16,1,0,4806,490.0,150.0,4,226.0,4,315.0,87.0,0,0
25.0,0.4166666666666667,307,1,1,1,1,1,1675,174.0,150.0,4,226.0,3,330.0,87.0,1,0
39.0,0.65,182,0,0,15,0,0,13108,215.0,150.0,4,226.0,4,191.0,87.0,0,0
191.0,1.3694210431977056,20,0,0,17,0,0,8009,111.0,150.0,4,226.0,4,264.0,87.0,0,0
226.0,3.2517985611510793,148,0,1,18,0,0,2157,111.0,150.0,4,226.0,4,272.0,87.0,0,0
44.5,0.5705128205128205,1218,0,1,23,0,0,12695,490.0,150.0,4,226.0,4,325.0,87.0,0,0
49.0,0.8166666666666667,40,0,1,16,0,0,17458,507.0,150.0,4,226.0,4,330.0,87.0,0,0
167.0,2.783333333333333,434,0,1,16,0,0,8320,476.0,150.0,4,166.0,4,204.0,87.0,0,0
68.95,1.0,429,0,0,22,0,0,10023,111.0,150.0,4,226.0,4,325.0,87.0,0,0
500.0,0.998003992015968,3,0,1,18,0,0,3446,512.0,150.0,3,224.0,4,325.0,87.0,0,0
117.0,1.95,53,0,0,4,0,1,10313,258.0,150.0,4,226.0,4,220.0,87.0,0,0
50.0,0.45892611289582375,1139,1,0,20,1,0,6019,583.0,150.0,4,226.0,1,264.0,87.0,1,0
9.3,0.4210526315789474,126,0,0,16,1,0,15257,375.0,185.0,3,224.0,0,-999.0,-999.0,1,0
29.0,0.49194232400339266,53,0,0,21,1,0,12725,325.0,150.0,4,226.0,4,204.0,87.0,0,0
159.95,2.665833333333333,32,0,1,14,1,0,14902,588.0,150.0,4,226.0,4,502.0,87.0,0,0
35.95,0.5710881652104846,373,0,0,19,1,0,4806,490.0,150.0,4,226.0,4,315.0,87.0,0,0
59.0,1.0008481764206953,192,0,1,17,0,0,9480,170.0,150.0,4,226.0,4,184.0,87.0,0,0
56.95,0.8259608411892676,139,0,1,21,0,0,1906,445.0,150.0,3,224.0,4,325.0,87.0,0,0
150.0,0.9933774834437086,1,0,0,17,0,0,3593,399.0,150.0,1,137.0,2,337.0,87.0,1,0
3163.95,42.78498985801217,145,0,0,19,0,0,6481,111.0,150.0,4,226.0,4,337.0,87.0,0,0
50.0,0.45454545454545453,809,1,1,4,0,1,10616,583.0,150.0,4,226.0,2,327.0,87.0,1,0
86.95,1.2510791366906475,631,0,0,22,1,0,11207,361.0,150.0,4,226.0,4,204.0,87.0,0,0
43.95,1.0858554663372453,10,0,1,1,0,1,14135,219.0,150.0,4,226.0,4,204.0,87.0,0,0
108.95,1.8158333333333334,412,0,1,0,1,1,7815,-999.0,-999.0,0,-999.0,4,123.0,87.0,0,0
117.0,1.1147103658536583,660,0,0,19,1,0,16132,111.0,150.0,4,226.0,4,299.0,87.0,0,0
34.0,0.3469387755102041,5,0,1,23,1,0,3028,555.0,150.0,4,226.0,4,441.0,87.0,0,0
25.95,0.37097927090779126,137,0,1,3,0,1,7005,111.0,150.0,4,226.0,4,310.0,87.0,0,0
26.129,0.9573517019015866,799,0,0,23,1,0,3154,408.0,185.0,3,224.0,0,-999.0,-999.0,2,0
117.0,1.7727272727272727,189,0,0,21,0,0,16255,470.0,150.0,3,137.0,4,476.0,87.0,0,0
67.95,1.1325,287,0,0,18,0,0,17055,393.0,150.0,3,117.0,4,126.0,87.0,0,0
50.0,0.6251953735542357,12,1,0,22,0,0,12789,338.0,150.0,4,226.0,1,420.0,87.0,2,0
29.0,0.5375347544022242,22,0,1,12,0,0,12449,174.0,150.0,3,117.0,4,143.0,87.0,0,0
31.95,0.5325,702,0,0,23,1,0,18132,567.0,150.0,3,117.0,4,441.0,87.0,0,0
59.0,1.0008481764206953,102,0,1,18,0,0,9485,111.0,150.0,4,226.0,4,315.0,87.0,0,0
21.702,0.9825466893039051,126,0,1,0,1,1,15257,375.0,185.0,3,224.0,0,-999.0,-999.0,1,1
49.184,1.6976098023988264,1782,0,1,15,0,0,15885,545.0,185.0,4,138.0,0,-999.0,-999.0,1,1
57.95,0.7580117724002616,6,0,0,16,0,0,15160,555.0,150.0,4,226.0,4,315.0,87.0,0,0
